epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.164,1.24861,3.28531,1.53419,0.00718,0.90546,0.27566,0.14047,1.21894,3.25348,1.56849,0.000404762,0.000404762,0.000404762
2,54.3482,1.31871,2.84643,1.54994,0.51512,0.05921,0.23074,0.11528,1.50088,3.01467,1.89673,0.000813296,0.000813296,0.000813296
3,66.3377,1.3478,2.65168,1.59898,0.52706,0.32564,0.28261,0.14842,1.61995,2.74314,2.07747,0.00121358,0.00121358,0.00121358
4,78.2628,1.42106,2.44351,1.64413,0.26818,0.33841,0.2342,0.12506,1.59281,3.09012,2.2593,0.00121287,0.00121287,0.00121287
5,90.3047,1.42032,2.32014,1.63883,0.16204,0.25943,0.06319,0.01882,2.50382,13.384,3.65661,0.0012005,0.0012005,0.0012005
6,102.145,1.44183,2.30716,1.70072,0.50718,0.2245,0.18279,0.082,1.90155,4.37688,2.58244,0.00118812,0.00118812,0.00118812
7,114.504,1.38665,2.17897,1.63156,0.45469,0.3561,0.27452,0.14183,1.66673,2.97287,2.11173,0.00117575,0.00117575,0.00117575
8,126.648,1.39518,2.16898,1.65858,0.41825,0.45042,0.44063,0.26545,1.49923,2.70917,2.00145,0.00116337,0.00116337,0.00116337
9,138.938,1.36595,2.10139,1.61086,0.25723,0.32503,0.19226,0.09409,1.83357,3.26259,2.13268,0.001151,0.001151,0.001151
10,150.943,1.32972,2.04227,1.54625,0.40247,0.47761,0.41805,0.21954,1.4721,2.28656,1.84374,0.00113863,0.00113863,0.00113863
11,163.138,1.29706,1.96838,1.5247,0.53924,0.43362,0.45397,0.24696,1.5012,2.22338,1.90641,0.00112625,0.00112625,0.00112625
12,175.235,1.30448,1.90755,1.5317,0.55807,0.45282,0.42326,0.21999,1.57064,2.47375,1.90034,0.00111388,0.00111388,0.00111388
13,187.591,1.28956,1.79439,1.54108,0.59637,0.53396,0.53681,0.32871,1.37328,2.3378,1.71871,0.0011015,0.0011015,0.0011015
14,199.627,1.2529,1.81115,1.51081,0.61105,0.47381,0.52797,0.31412,1.35693,1.79311,1.73162,0.00108913,0.00108913,0.00108913
15,211.777,1.23978,1.8119,1.50372,0.55314,0.4916,0.51131,0.28335,1.45713,1.99958,1.79757,0.00107675,0.00107675,0.00107675
16,223.937,1.26111,1.69137,1.51301,0.63952,0.39247,0.46254,0.28028,1.44426,2.22389,1.86598,0.00106437,0.00106437,0.00106437
17,236.228,1.23203,1.6157,1.49884,0.6211,0.4678,0.55084,0.3251,1.49703,2.05946,1.84136,0.001052,0.001052,0.001052
18,248.821,1.20215,1.64365,1.48055,0.60798,0.57746,0.57404,0.35536,1.36546,1.7453,1.75207,0.00103962,0.00103962,0.00103962
19,261.026,1.16729,1.58173,1.48547,0.67446,0.45293,0.55849,0.32731,1.43598,1.81223,1.77263,0.00102725,0.00102725,0.00102725
20,272.859,1.19507,1.567,1.48513,0.58324,0.58719,0.57545,0.35596,1.33149,1.76477,1.70433,0.00101488,0.00101488,0.00101488
21,284.986,1.19967,1.53993,1.46538,0.67405,0.56419,0.57738,0.35644,1.41621,1.81089,1.79514,0.0010025,0.0010025,0.0010025
22,297.147,1.19844,1.51316,1.43993,0.62188,0.53559,0.59693,0.38536,1.30328,1.7322,1.68579,0.000990125,0.000990125,0.000990125
23,309.162,1.18568,1.5183,1.46289,0.78691,0.56055,0.69898,0.42786,1.36207,1.51464,1.75607,0.00097775,0.00097775,0.00097775
24,321.183,1.17034,1.43061,1.4508,0.79132,0.61376,0.71052,0.44053,1.38672,1.40732,1.7625,0.000965375,0.000965375,0.000965375
25,333.318,1.10364,1.37128,1.40072,0.68629,0.58872,0.63029,0.39926,1.35414,1.45729,1.75336,0.000953,0.000953,0.000953
26,345.366,1.13513,1.35687,1.38791,0.6054,0.58809,0.59535,0.35838,1.41296,1.64562,1.77153,0.000940625,0.000940625,0.000940625
27,357.414,1.19537,1.39404,1.42909,0.72,0.64562,0.70471,0.42112,1.36163,1.40445,1.7328,0.00092825,0.00092825,0.00092825
28,369.443,1.12341,1.36911,1.43424,0.67844,0.57599,0.63775,0.37886,1.49971,1.54431,1.92042,0.000915875,0.000915875,0.000915875
29,381.911,1.11406,1.3536,1.4197,0.72044,0.60551,0.6923,0.4366,1.29771,1.39853,1.66906,0.0009035,0.0009035,0.0009035
30,393.917,1.0793,1.27935,1.39138,0.75293,0.61962,0.68901,0.44015,1.32162,1.40787,1.71836,0.000891125,0.000891125,0.000891125
31,405.738,1.11202,1.25847,1.37867,0.66108,0.56163,0.62982,0.37306,1.35049,1.50051,1.7676,0.00087875,0.00087875,0.00087875
32,417.768,1.1016,1.26112,1.38696,0.74252,0.62434,0.67684,0.41791,1.40085,1.42581,1.8405,0.000866375,0.000866375,0.000866375
33,429.969,1.03603,1.17256,1.35685,0.7042,0.58353,0.66458,0.44207,1.28712,1.49789,1.69878,0.000854,0.000854,0.000854
34,442.067,1.05406,1.20752,1.36511,0.84719,0.5831,0.69169,0.43382,1.34791,1.33194,1.73049,0.000841625,0.000841625,0.000841625
35,454.281,1.02237,1.22688,1.33037,0.76086,0.57027,0.67892,0.4507,1.25645,1.35374,1.6271,0.00082925,0.00082925,0.00082925
36,466.153,1.03875,1.17878,1.33801,0.64756,0.66671,0.68327,0.42792,1.37213,1.40514,1.74561,0.000816875,0.000816875,0.000816875
37,477.996,1.01148,1.14641,1.31609,0.72504,0.56131,0.62868,0.39495,1.3729,1.42097,1.75252,0.0008045,0.0008045,0.0008045
38,489.798,1.04417,1.18316,1.35433,0.70095,0.61185,0.66801,0.4339,1.3398,1.37207,1.73499,0.000792125,0.000792125,0.000792125
39,501.577,1.00442,1.11656,1.31256,0.76681,0.58535,0.67824,0.44035,1.29685,1.34886,1.72858,0.00077975,0.00077975,0.00077975
40,513.673,1.02567,1.13925,1.30825,0.77917,0.58178,0.71037,0.43077,1.28137,1.38065,1.66793,0.000767375,0.000767375,0.000767375
41,525.385,0.98974,1.07749,1.31019,0.70088,0.6031,0.6301,0.3878,1.27546,1.48716,1.6548,0.000755,0.000755,0.000755
42,537.278,0.94193,1.04448,1.28635,0.71221,0.59511,0.65561,0.38985,1.38276,1.58785,1.84659,0.000742625,0.000742625,0.000742625
43,549.042,0.99374,1.07443,1.31947,0.73441,0.57698,0.681,0.41513,1.33106,1.38445,1.732,0.00073025,0.00073025,0.00073025
44,560.521,0.96077,1.0338,1.28278,0.61559,0.58571,0.61397,0.3905,1.35105,1.59981,1.78119,0.000717875,0.000717875,0.000717875
45,572.052,0.9489,1.05021,1.28604,0.77075,0.55918,0.62715,0.39594,1.33572,1.49974,1.73716,0.0007055,0.0007055,0.0007055
46,583.733,0.96309,1.02434,1.28495,0.82499,0.641,0.7127,0.44689,1.30901,1.37077,1.66021,0.000693125,0.000693125,0.000693125
47,595.827,0.9526,0.99132,1.25938,0.7754,0.61648,0.71392,0.46942,1.28707,1.23633,1.68238,0.00068075,0.00068075,0.00068075
48,607.47,0.95731,0.99481,1.29059,0.72396,0.65372,0.71946,0.46249,1.3112,1.31133,1.7399,0.000668375,0.000668375,0.000668375
49,619.105,0.93317,0.96097,1.2722,0.79769,0.66504,0.78042,0.50706,1.23954,1.08095,1.64717,0.000656,0.000656,0.000656
50,630.999,0.9631,0.9843,1.30582,0.7633,0.62613,0.74678,0.47833,1.28031,1.30028,1.66116,0.000643625,0.000643625,0.000643625
51,642.797,0.91769,0.9432,1.25961,0.657,0.68638,0.69553,0.44184,1.26385,1.39356,1.68618,0.00063125,0.00063125,0.00063125
52,654.269,0.90189,1.00181,1.26894,0.65235,0.75874,0.74031,0.48017,1.27289,1.18949,1.69135,0.000618875,0.000618875,0.000618875
53,666.014,0.95248,0.94863,1.26993,0.78995,0.64241,0.7523,0.48258,1.27596,1.16739,1.69154,0.0006065,0.0006065,0.0006065
54,677.701,0.88388,0.93979,1.22899,0.7669,0.7344,0.76571,0.48889,1.26471,1.11843,1.64183,0.000594125,0.000594125,0.000594125
55,689.748,0.82574,0.84364,1.21637,0.72798,0.72892,0.77666,0.50296,1.21396,1.21281,1.60118,0.00058175,0.00058175,0.00058175
56,701.542,0.91394,0.9303,1.24142,0.79292,0.60622,0.70724,0.45931,1.28742,1.31364,1.66213,0.000569375,0.000569375,0.000569375
57,713.672,0.85015,0.86069,1.19924,0.72916,0.64938,0.68961,0.42407,1.29925,1.25382,1.73944,0.000557,0.000557,0.000557
58,725.893,0.83895,0.86168,1.21791,0.70568,0.75515,0.71524,0.45714,1.23558,1.2852,1.65837,0.000544625,0.000544625,0.000544625
59,737.775,0.83758,0.84329,1.18889,0.72167,0.70193,0.73252,0.50023,1.18811,1.19213,1.61899,0.00053225,0.00053225,0.00053225
60,749.653,0.87155,0.88099,1.21294,0.79234,0.64779,0.74669,0.47817,1.26407,1.15357,1.63795,0.000519875,0.000519875,0.000519875
61,761.359,0.84879,0.85646,1.21748,0.89037,0.65493,0.80304,0.51503,1.21003,1.02037,1.62861,0.0005075,0.0005075,0.0005075
62,773.479,0.86514,0.8628,1.21574,0.74258,0.76274,0.75399,0.50642,1.19751,0.97406,1.61227,0.000495125,0.000495125,0.000495125
63,785.661,0.84408,0.8342,1.21054,0.68672,0.75922,0.74021,0.48682,1.20164,1.06187,1.572,0.00048275,0.00048275,0.00048275
64,797.484,0.84506,0.82364,1.17828,0.79047,0.64944,0.74525,0.4673,1.27567,1.13355,1.63158,0.000470375,0.000470375,0.000470375
65,809.668,0.87227,0.82755,1.21578,0.85191,0.66232,0.76075,0.4971,1.23951,1.0301,1.59188,0.000458,0.000458,0.000458
66,821.446,0.81172,0.78991,1.19945,0.87787,0.63191,0.77567,0.50683,1.25502,1.06309,1.59725,0.000445625,0.000445625,0.000445625
67,833.396,0.86042,0.82395,1.21707,0.84543,0.6917,0.81135,0.53544,1.25197,0.94248,1.60851,0.00043325,0.00043325,0.00043325
68,845.147,0.79325,0.77406,1.16909,0.8203,0.70806,0.78405,0.54053,1.24163,0.93277,1.6226,0.000420875,0.000420875,0.000420875
69,857.174,0.81911,0.79234,1.17849,0.70147,0.72592,0.8028,0.53736,1.23294,1.0027,1.61071,0.0004085,0.0004085,0.0004085
70,868.946,0.80479,0.79113,1.18696,0.70794,0.74633,0.77884,0.53903,1.2242,0.99397,1.61038,0.000396125,0.000396125,0.000396125
71,881.038,0.7964,0.76715,1.16862,0.74516,0.77596,0.80158,0.54909,1.16837,0.92463,1.55505,0.00038375,0.00038375,0.00038375
72,892.599,0.80574,0.77044,1.17694,0.84622,0.66534,0.78556,0.54178,1.17666,0.9252,1.57454,0.000371375,0.000371375,0.000371375
73,904.641,0.83809,0.73385,1.19839,0.80962,0.70408,0.80302,0.54088,1.20181,0.97014,1.59902,0.000359,0.000359,0.000359
74,916.354,0.79239,0.75896,1.19388,0.80913,0.71805,0.80808,0.52442,1.25617,0.9899,1.62134,0.000346625,0.000346625,0.000346625
